Branch,Company Name,Job Title,Package (LPA),Tools Required,Skills Required
CSE,Nexvora Technologies,Software Developer,4.2,Git/GitHub; VS Code; JIRA,"Python/Java; DSA; OOP; REST APIs; Problem Solving"
CSE,Bytecraft Solutions,Backend Engineer,3.8,Postman; Docker; MySQL Workbench,"Node.js/Python; SQL; API Design; Microservices; Linux"
CSE,Infrabit Systems,Full Stack Developer,4.5,React; Node.js; MongoDB; Git,"HTML/CSS/JS; React; Express; REST APIs; Database Design"
CSE,Cloudpine Infotech,Cloud Support Engineer,3.6,AWS Console; Terraform; Linux CLI,"AWS/Azure; Networking; Linux; Ticketing Systems; Cloud Fundamentals"
CSE,Pixelnode Labs,Frontend Developer,4.0,Figma; VS Code; Chrome DevTools,"HTML; CSS; JavaScript; React; Responsive Design; UI/UX Basics"
CSE,Stackware Pvt Ltd,Python Developer,3.9,PyCharm; Git; Jupyter Notebook,"Python; Django/Flask; SQL; REST APIs; Data Structures"
CSE,Devforge IT,Java Developer,4.1,IntelliJ IDEA; Maven; Git,"Core Java; Spring Boot; Hibernate; SQL; OOP; Multithreading"
CSE,Netquill Systems,Network Engineer,3.5,Cisco Packet Tracer; Wireshark; PuTTY,"TCP/IP; Routing & Switching; Firewalls; Linux; Network Security"
CSE,Codebridge India,QA Engineer,3.4,Selenium; JIRA; Postman; TestNG,"Manual Testing; Automation Testing; Test Case Design; Bug Reporting; SQL"
CSE,Datasync Technologies,Data Analyst,4.3,Excel; Power BI; SQL; Python,"Data Analysis; SQL; Statistics; Data Visualization; Excel; Python (Pandas)"
CSE,Apexloop Software,DevOps Engineer,4.8,Jenkins; Docker; Kubernetes; Ansible,"CI/CD; Linux; Shell Scripting; Docker; Cloud; Git"
CSE,Trigon Infotech,Mobile App Developer,4.0,Android Studio; Flutter; Git,"Flutter/React Native; Dart/JS; REST APIs; Firebase; OOP"
CSE,Webvault Solutions,UI/UX Developer,3.7,Figma; Adobe XD; HTML/CSS,"UI Design; Prototyping; Wireframing; HTML/CSS; User Research"
CSE,Zerobit Labs,Cybersecurity Analyst,5.0,Kali Linux; Wireshark; Metasploit,"Ethical Hacking; Network Security; VAPT; Cryptography; Linux"
CSE,Linkcore Systems,System Analyst,3.8,MS Visio; JIRA; SQL,"System Design; Requirements Analysis; SQL; Documentation; UML"
CSE,Tasknode Pvt Ltd,Software Tester,3.3,Selenium; JIRA; Bugzilla,"Manual Testing; Test Planning; Regression Testing; SQL; Communication"
CSE,Orbitline IT,React Developer,4.2,VS Code; Git; npm; Webpack,"React.js; JavaScript (ES6+); Redux; REST APIs; HTML/CSS"
CSE,Gridstack India,Database Administrator,4.0,MySQL; Oracle DB; pgAdmin,"SQL; Database Design; Backup & Recovery; Performance Tuning; Linux"
CSE,Codehive Technologies,AI/ML Engineer,5.5,Python; TensorFlow; Jupyter; Git,"Machine Learning; Deep Learning; Python; Statistics; Data Preprocessing; NLP"
CSE,Streampath Solutions,Tech Support Engineer,3.2,Zendesk; Remote Desktop; MS Office,"Troubleshooting; Networking Basics; Communication; OS Knowledge; Customer Service"
ECE,Wavegen Electronics,Embedded Systems Engineer,4.0,Keil µVision; MPLAB; Oscilloscope,"C/C++; Microcontrollers; RTOS; Circuit Design; Debugging"
ECE,Circuitnode Pvt Ltd,PCB Design Engineer,3.8,Altium Designer; Eagle; KiCad,"PCB Layout; Circuit Analysis; Schematic Design; Signal Integrity; Soldering"
ECE,Signalcraft Systems,RF Engineer,4.5,MATLAB; ADS; Spectrum Analyzer,"RF Design; Antenna Theory; Signal Processing; MATLAB; Communication Systems"
ECE,Voltpeak Industries,VLSI Design Engineer,5.0,Cadence; Synopsys; ModelSim,"Verilog/VHDL; Digital Design; CMOS; Timing Analysis; Synthesis"
ECE,Antennatech India,Telecom Engineer,3.9,Network Simulators; MATLAB; AutoCAD,"Telecom Protocols; LTE/5G; Signal Propagation; RF Planning; Communication Systems"
ECE,Microlink Solutions,IoT Developer,4.2,Arduino IDE; Raspberry Pi; AWS IoT,"C/Python; MQTT; Sensors; Wireless Protocols (BLE/WiFi); Cloud Integration"
ECE,Pulsegate Labs,Hardware Engineer,3.7,Multimeter; Oscilloscope; LTSpice,"Circuit Design; PCB; Component Testing; Soldering; Technical Documentation"
ECE,Sensorix Technologies,Sensor Systems Engineer,4.1,MATLAB; LabVIEW; Calibration Tools,"Sensor Interfacing; Signal Conditioning; Data Acquisition; C Programming; Instrumentation"
ECE,Broadband Nexus,Network Planning Engineer,3.6,AutoCAD; MapInfo; Network Simulators,"RF Planning; LTE/5G; Coverage Analysis; Drive Testing; Communication Protocols"
ECE,Digitrend Systems,Signal Processing Engineer,4.4,MATLAB; Python; Simulink,"DSP; Fourier Transforms; Filter Design; MATLAB; Python (NumPy/SciPy)"
ECE,Chipframe India,Chip Design Analyst,5.2,Cadence Virtuoso; Synopsys VCS,"VLSI; Verilog; Physical Design; DRC/LVS; Chip Verification"
ECE,Radiovox Pvt Ltd,Communication Engineer,3.8,MATLAB; NS3; Wireshark,"Communication Systems; Modulation Techniques; Antenna; Channel Coding; Networking"
ECE,Etherlogic Systems,Firmware Developer,4.3,Keil; IAR Embedded Workbench; JTAG,"C Programming; ARM Cortex; RTOS; Bootloader; Hardware Debugging"
ECE,Resonance Infotech,Electronics Support Engineer,3.5,Multimeter; CRO; MS Office,"Circuit Troubleshooting; Component Identification; Technical Support; Documentation"
ECE,Datawave Labs,Test Engineer,3.4,NI TestStand; LabVIEW; Oscilloscope,"PCB Testing; Functional Testing; Test Automation; LabVIEW; Documentation"
ECE,Powerlink Electronics,Power Electronics Engineer,4.0,PSIM; MATLAB Simulink; Oscilloscope,"Power Converters; SMPS; Motor Drives; Control Systems; Circuit Simulation"
ECE,Navlink Systems,Navigation Systems Engineer,4.6,MATLAB; GPS Tools; Python,"GPS/GNSS; Signal Processing; Navigation Algorithms; Python; Embedded C"
ECE,Tronix Pvt Ltd,Production Engineer,3.3,ERP Systems; CAD Tools; MS Excel,"PCB Assembly; Quality Control; Production Planning; SMT Process; Documentation"
ECE,Spectracom India,Spectrum Analyst,4.1,Spectrum Analyzer; MATLAB; SDR Tools,"Spectrum Management; RF Measurements; Signal Analysis; Regulatory Compliance; MATLAB"
ECE,Wiredge Technologies,Circuit Design Engineer,3.9,LTSpice; KiCad; Multimeter,"Analog Circuit Design; Op-Amps; Filters; PCB; Component Selection"
ME,Gearshift Industries,Mechanical Design Engineer,3.9,AutoCAD; SolidWorks; ANSYS,"3D Modeling; GD&T; FEA; Engineering Drawing; Material Science"
ME,Forgetech Pvt Ltd,Production Engineer,3.6,SAP ERP; AutoCAD; MS Excel,"Production Planning; Process Improvement; Quality Tools (5S/Kaizen); Time Study"
ME,Thermocore Systems,Thermal Engineer,4.0,ANSYS Fluent; SolidWorks; MATLAB,"Heat Transfer; CFD; Thermodynamics; Fluid Mechanics; Simulation"
ME,Axlepoint Manufacturing,CAD/CAM Engineer,3.8,SolidWorks; Mastercam; AutoCAD,"CAD Modeling; CNC Programming; GD&T; Manufacturing Processes; Toolpath Generation"
ME,Driveline India,Automobile Engineer,4.2,CATIA; MATLAB; AVL Cruise,"Vehicle Dynamics; Powertrain; AutoCAD; Material Science; Testing & Validation"
ME,Steelcraft Solutions,Structural Engineer,3.7,STAAD Pro; AutoCAD; ANSYS,"Structural Analysis; FEA; Material Strength; Engineering Drawing; Load Calculations"
ME,Fluid Dynamics Labs,Hydraulics Engineer,4.1,ANSYS Fluent; AutoCAD; MATLAB,"Fluid Mechanics; CFD; Hydraulic Systems; Pump Design; Piping Systems"
ME,Castronix Pvt Ltd,Casting Process Engineer,3.5,AutoCAD; Magmasoft; MS Excel,"Casting Processes; Metallurgy; Defect Analysis; Quality Control; Mould Design"
ME,Turbovane Industries,Turbine Engineer,4.5,ANSYS; CATIA; CFD Tools,"Turbomachinery; Thermodynamics; CFD; Rotor Dynamics; Blade Design"
ME,Pressfit Systems,Quality Control Engineer,3.4,CMM; Micrometer; SAP; MS Excel,"Quality Standards (ISO/IATF); SPC; Measurement Techniques; Root Cause Analysis; Inspection"
ME,Moldtech India,Tool & Die Engineer,3.8,AutoCAD; SolidWorks; Mastercam,"Mould Design; Die Making; CNC Programming; GD&T; Manufacturing Processes"
ME,Weldpro Solutions,Welding Engineer,3.3,AutoCAD; WPS Tools; NDT Equipment,"Welding Processes (MIG/TIG/ARC); Metallurgy; NDT; Weld Quality Inspection; AWS Standards"
ME,Robocraft Labs,Robotics Engineer,5.0,ROS; MATLAB; SolidWorks; Python,"Robotics; Control Systems; Python/C++; Kinematics; Sensors & Actuators"
ME,Nanofit Technologies,Precision Engineer,4.3,CMM; AutoCAD; SolidWorks,"Metrology; GD&T; Precision Machining; Inspection Techniques; Surface Finish Analysis"
ME,Pipeflow Systems,Piping Engineer,3.9,AutoCAD Plant 3D; Caesar II; Navisworks,"Piping Design; Stress Analysis; P&ID; Material Selection; Engineering Standards"
ME,Machinelink Pvt Ltd,CNC Operator Engineer,3.2,Fanuc CNC; Mastercam; AutoCAD,"CNC Programming (G&M Code); Machine Operation; Blueprint Reading; Quality Inspection"
ME,Heatshield India,HVAC Engineer,4.0,AutoCAD; HAP Software; MS Excel,"HVAC Design; Load Calculations; Duct Design; Refrigeration Cycles; Energy Efficiency"
ME,Driveaxis Industries,Plant Maintenance Engineer,3.6,SAP PM; AutoCAD; MS Excel,"Preventive Maintenance; TPM; Root Cause Analysis; Hydraulics/Pneumatics; EHS"
ME,Compressor Tech,Compressor Engineer,3.8,AutoCAD; ASPEN; MATLAB,"Compressor Design; Thermodynamics; Vibration Analysis; P&ID; API Standards"
ME,Alloyedge Pvt Ltd,Materials Engineer,4.1,SEM/EDS; XRD; ANSYS,"Metallurgy; Material Characterization; Heat Treatment; Failure Analysis; Materials Testing"
CE,Buildframe Constructions,Site Engineer,3.6,AutoCAD; MS Project; Primavera,"Site Supervision; Concrete Technology; Construction Management; Quantity Estimation; Safety"
CE,Concretech Pvt Ltd,Structural Engineer,4.0,STAAD Pro; ETABS; AutoCAD,"RCC Design; Steel Design; IS Codes; Structural Analysis; Engineering Drawing"
