job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
AI Engineer,10,Bachelor,2,Healthcare,Medium,India,Hybrid,2,109413
Frontend Developer,18,PhD,2,Retail,Enterprise,India,Hybrid,5,128377
Business Analyst,14,PhD,5,Healthcare,Enterprise,India,No,1,106481
Product Manager,13,Master,8,Retail,Medium,India,Hybrid,3,113838
Data Scientist,13,Master,3,Government,Large,India,Yes,0,111158
Frontend Developer,14,Diploma,17,Finance,Startup,India,Yes,2,84456
AI Engineer,20,Diploma,5,Media,Startup,India,Hybrid,5,112984
Backend Developer,4,PhD,12,Telecom,Startup,India,Hybrid,1,77939
Backend Developer,18,Bachelor,8,Consulting,Large,India,No,3,110112
Cybersecurity Analyst,10,Diploma,3,Healthcare,Enterprise,India,No,0,106400
Business Analyst,0,High School,8,Finance,Small,India,No,2,43673
Machine Learning Engineer,1,High School,16,Telecom,Medium,India,Hybrid,0,75134
Data Scientist,10,Bachelor,1,Finance,Medium,India,Hybrid,1,77841
Backend Developer,19,Diploma,10,Telecom,Large,India,No,4,109343
AI Engineer,18,High School,19,Finance,Enterprise,India,No,1,146788
DevOps Engineer,20,High School,6,Healthcare,Large,India,Yes,4,118711
Data Analyst,15,PhD,9,Telecom,Large,India,Yes,5,121352
Cybersecurity Analyst,14,Diploma,4,Consulting,Large,India,Hybrid,3,97308
Machine Learning Engineer,20,Bachelor,16,Education,Medium,India,No,0,121755
Frontend Developer,12,High School,17,Telecom,Medium,India,Yes,4,84446
Business Analyst,0,Diploma,5,Manufacturing,Small,India,No,2,49398
Cloud Engineer,11,High School,17,Government,Small,India,Yes,4,92273
Cybersecurity Analyst,17,Master,14,Technology,Enterprise,India,No,3,136311
AI Engineer,20,Diploma,12,Healthcare,Large,India,Yes,0,133712
AI Engineer,20,PhD,13,Manufacturing,Enterprise,India,Yes,2,172891
Machine Learning Engineer,12,Bachelor,4,Media,Enterprise,India,No,4,137499
Frontend Developer,8,Bachelor,8,Media,Enterprise,India,Yes,3,98399
Data Analyst,12,Bachelor,17,Healthcare,Medium,India,Yes,3,88963
Cloud Engineer,12,Bachelor,3,Education,Large,India,Yes,3,104751
Machine Learning Engineer,6,Diploma,17,Manufacturing,Small,India,Yes,0,92541
Software Engineer,2,PhD,15,Consulting,Enterprise,India,Hybrid,4,116761
Machine Learning Engineer,15,Bachelor,13,Media,Startup,India,No,5,110903
Business Analyst,1,Master,15,Telecom,Startup,India,No,0,62524
AI Engineer,13,Bachelor,7,Finance,Enterprise,India,Yes,1,131994
DevOps Engineer,17,Bachelor,18,Technology,Startup,India,Hybrid,1,100209
Product Manager,20,Master,17,Manufacturing,Large,India,Hybrid,4,142857
Cybersecurity Analyst,6,Bachelor,7,Consulting,Small,India,Hybrid,3,85823
Machine Learning Engineer,0,Bachelor,6,Technology,Startup,India,Yes,2,75636
Business Analyst,16,Bachelor,7,Telecom,Enterprise,India,Yes,0,105785
Data Scientist,8,High School,19,Manufacturing,Startup,India,No,2,93058
Frontend Developer,20,Diploma,3,Manufacturing,Small,India,No,0,83530
AI Engineer,3,PhD,5,Finance,Medium,India,Yes,4,114956
Data Analyst,6,High School,1,Healthcare,Small,India,Hybrid,1,41404
Business Analyst,2,PhD,3,Technology,Startup,India,Yes,0,73692
Product Manager,10,PhD,1,Technology,Small,India,Hybrid,3,87584
Business Analyst,6,Bachelor,9,Retail,Startup,India,Yes,4,70039
Data Scientist,5,Bachelor,16,Manufacturing,Large,India,Yes,1,99684
Product Manager,14,High School,11,Government,Large,India,No,4,111663
AI Engineer,5,Diploma,10,Technology,Enterprise,India,Hybrid,3,117626
Data Analyst,10,Master,12,Finance,Small,India,Yes,4,79399
Data Analyst,5,Diploma,10,Government,Medium,India,No,2,66655
Backend Developer,7,Bachelor,1,Technology,Enterprise,India,No,0,94515
Data Scientist,13,Bachelor,14,Media,Large,India,No,2,109157
Cybersecurity Analyst,13,Bachelor,13,Technology,Small,India,No,3,100825
Data Scientist,20,High School,17,Telecom,Small,India,Hybrid,1,93279
Backend Developer,0,PhD,14,Healthcare,Small,India,No,1,78855
Backend Developer,6,Bachelor,14,Media,Large,India,Yes,5,95276
Cloud Engineer,17,Bachelor,3,Government,Large,India,Hybrid,1,117073
Machine Learning Engineer,8,Diploma,14,Consulting,Large,India,Yes,2,116536
Cybersecurity Analyst,7,Master,5,Government,Enterprise,India,No,4,112614
Data Analyst,4,Diploma,11,Education,Small,India,Yes,0,61628
Cybersecurity Analyst,7,PhD,17,Finance,Startup,India,No,1,94018
Cloud Engineer,8,Diploma,5,Manufacturing,Startup,India,Yes,0,74045
Backend Developer,16,Diploma,11,Government,Startup,India,No,3,82506
Machine Learning Engineer,1,Bachelor,19,Retail,Enterprise,India,Yes,5,120362
Data Analyst,12,Bachelor,10,Retail,Startup,India,Yes,0,73369
Cybersecurity Analyst,16,High School,2,Retail,Startup,India,Yes,2,90028
Frontend Developer,20,Diploma,10,Healthcare,Startup,India,No,2,81898
AI Engineer,5,Bachelor,7,Telecom,Large,India,Hybrid,1,106462
Cybersecurity Analyst,0,Bachelor,10,Consulting,Small,India,Yes,0,72567
Cloud Engineer,13,High School,5,Technology,Small,India,Hybrid,5,92702
Product Manager,6,High School,2,Healthcare,Startup,India,Yes,1,75243
DevOps Engineer,11,Master,8,Consulting,Enterprise,India,Yes,4,123671
Data Analyst,20,Master,18,Education,Enterprise,India,Hybrid,1,125270
Backend Developer,8,PhD,5,Telecom,Enterprise,India,Hybrid,3,128003
Backend Developer,10,Master,14,Telecom,Enterprise,India,Hybrid,4,116948
Cloud Engineer,2,High School,12,Telecom,Large,India,No,2,76861
Data Analyst,4,Master,3,Finance,Large,India,Hybrid,3,69747
Cloud Engineer,2,Bachelor,18,Consulting,Large,India,Hybrid,0,95119
Software Engineer,10,PhD,5,Telecom,Startup,India,Yes,1,85895
Data Scientist,17,High School,15,Telecom,Medium,India,Hybrid,5,102473
Data Scientist,10,High School,2,Technology,Medium,India,No,2,87411
Data Scientist,8,Diploma,10,Consulting,Small,India,Hybrid,3,80304
Product Manager,0,High School,11,Consulting,Startup,India,No,4,71975
Product Manager,1,High School,2,Finance,Medium,India,Yes,2,84923
Data Scientist,4,Diploma,5,Healthcare,Medium,India,Hybrid,2,68742
Software Engineer,18,Bachelor,18,Consulting,Enterprise,India,Hybrid,4,122765
Software Engineer,17,High School,16,Retail,Enterprise,India,No,3,118320
Machine Learning Engineer,17,Master,14,Media,Enterprise,India,Yes,1,152226
Business Analyst,8,Bachelor,6,Media,Small,India,No,2,60338
Data Analyst,5,PhD,8,Consulting,Startup,India,No,3,62693
Backend Developer,1,High School,12,Healthcare,Startup,India,No,0,61271
Machine Learning Engineer,16,Bachelor,16,Education,Startup,India,Hybrid,0,109776
Cloud Engineer,2,Master,5,Technology,Medium,India,No,0,84622
Data Analyst,8,Master,18,Manufacturing,Startup,India,No,2,70164
Software Engineer,7,Bachelor,3,Technology,Enterprise,India,Yes,3,97676
Business Analyst,11,Diploma,14,Telecom,Small,India,No,1,70550
Backend Developer,20,Diploma,5,Government,Large,India,No,1,99128
Cloud Engineer,19,High School,9,Government,Startup,India,Hybrid,1,91413
Product Manager,8,High School,12,Finance,Medium,India,No,2,94651
AI Engineer,5,High School,2,Finance,Enterprise,India,Hybrid,1,111335
AI Engineer,3,Master,13,Healthcare,Large,India,Hybrid,2,112900
Cloud Engineer,5,High School,7,Education,Medium,India,Yes,0,72280
Business Analyst,20,Diploma,15,Media,Medium,India,Hybrid,3,88549
Machine Learning Engineer,2,High School,18,Retail,Medium,India,Hybrid,3,103150
DevOps Engineer,14,Bachelor,8,Telecom,Small,India,Yes,1,96361
Machine Learning Engineer,14,High School,2,Consulting,Enterprise,India,Hybrid,0,118320
AI Engineer,14,PhD,10,Technology,Small,India,Hybrid,0,124057
Business Analyst,18,High School,5,Consulting,Medium,India,No,5,91186
Product Manager,12,Bachelor,16,Healthcare,Enterprise,India,No,2,116346
Frontend Developer,2,Master,12,Consulting,Enterprise,India,Hybrid,0,90028
Cloud Engineer,1,Bachelor,1,Telecom,Startup,India,No,2,72916
Data Analyst,18,Diploma,4,Media,Startup,India,No,4,72237
AI Engineer,4,Diploma,14,Media,Large,India,Hybrid,1,107541
Machine Learning Engineer,10,High School,18,Finance,Small,India,Hybrid,2,92539
Machine Learning Engineer,20,PhD,6,Media,Large,India,Hybrid,1,145419
Data Scientist,11,Diploma,10,Healthcare,Medium,India,Hybrid,3,86232
Software Engineer,3,High School,3,Consulting,Medium,India,No,4,67408
Data Analyst,20,PhD,13,Telecom,Small,India,Hybrid,3,110399
Product Manager,12,High School,16,Consulting,Enterprise,India,Yes,4,121128
DevOps Engineer,5,Bachelor,15,Education,Large,India,No,5,109624
Backend Developer,13,Bachelor,4,Education,Small,India,Yes,3,86175
Data Scientist,17,Bachelor,17,Education,Large,India,Hybrid,0,115119
Data Scientist,0,PhD,13,Finance,Medium,India,No,0,86811
Machine Learning Engineer,16,High School,8,Healthcare,Enterprise,India,Hybrid,2,118370
AI Engineer,17,PhD,2,Government,Medium,India,No,3,137258
Machine Learning Engineer,12,High School,8,Manufacturing,Startup,India,No,0,82169
Product Manager,12,High School,14,Telecom,Large,India,Hybrid,3,111587
Software Engineer,18,Diploma,17,Technology,Medium,India,Hybrid,5,111212
Cloud Engineer,2,Diploma,11,Technology,Small,India,Hybrid,3,77648
Machine Learning Engineer,8,Bachelor,17,Finance,Small,India,Hybrid,4,92698
Cybersecurity Analyst,9,Bachelor,2,Manufacturing,Enterprise,India,Hybrid,3,104285
Machine Learning Engineer,20,PhD,13,Education,Large,India,Hybrid,4,152096
Business Analyst,19,PhD,2,Education,Small,India,No,4,97349
Cloud Engineer,2,High School,13,Retail,Startup,India,Yes,2,80396
Backend Developer,0,PhD,3,Retail,Startup,India,Yes,0,74038
Backend Developer,3,Master,5,Government,Startup,India,No,5,67948
Backend Developer,1,Diploma,3,Finance,Enterprise,India,No,5,74198
Frontend Developer,8,Master,16,Government,Startup,India,No,2,87116
Product Manager,15,High School,11,Government,Small,India,Hybrid,0,96549
Frontend Developer,7,Bachelor,4,Media,Large,India,Yes,1,90056
Software Engineer,5,Master,5,Finance,Large,India,Hybrid,4,96135
Cloud Engineer,10,Master,4,Media,Small,India,Hybrid,1,87920
Data Scientist,12,Bachelor,10,Government,Startup,India,Hybrid,3,81873
AI Engineer,4,Diploma,10,Education,Enterprise,India,Yes,1,118583
Backend Developer,1,High School,14,Healthcare,Medium,India,Hybrid,1,55881
Frontend Developer,17,High School,15,Government,Startup,India,Hybrid,4,80963
Product Manager,6,High School,10,Education,Small,India,No,0,81234
Data Scientist,6,Diploma,2,Telecom,Large,India,Hybrid,1,95143
Business Analyst,18,Master,9,Healthcare,Medium,India,No,5,99205
Data Analyst,16,PhD,10,Education,Startup,India,Hybrid,3,85461
Backend Developer,19,Diploma,13,Manufacturing,Startup,India,No,3,84170
Cloud Engineer,20,Bachelor,8,Technology,Enterprise,India,Yes,3,143828
Software Engineer,5,Diploma,5,Consulting,Startup,India,Yes,1,69181
Data Scientist,10,Diploma,11,Media,Medium,India,No,0,82549
Software Engineer,18,Master,17,Consulting,Startup,India,No,2,109203
Data Analyst,13,Master,15,Retail,Startup,India,Yes,0,84711
Cybersecurity Analyst,15,High School,10,Telecom,Medium,India,Hybrid,1,94948
Backend Developer,10,Master,13,Media,Startup,India,Yes,1,90709
Data Scientist,4,Master,7,Media,Medium,India,Hybrid,0,81698
Cybersecurity Analyst,6,Bachelor,1,Government,Large,India,No,0,83856
Software Engineer,19,Master,12,Healthcare,Enterprise,India,Hybrid,4,134563
Frontend Developer,9,PhD,10,Retail,Enterprise,India,Hybrid,4,118107
Machine Learning Engineer,10,Diploma,17,Education,Medium,India,Yes,3,106339
Cloud Engineer,14,PhD,19,Technology,Small,India,Yes,4,122584
Cloud Engineer,8,Bachelor,2,Telecom,Small,India,Hybrid,3,78221
Cybersecurity Analyst,14,PhD,12,Retail,Startup,India,Hybrid,2,100659
Cybersecurity Analyst,20,Master,8,Government,Startup,India,No,0,105981
Cloud Engineer,12,PhD,18,Manufacturing,Small,India,Yes,5,116176
DevOps Engineer,14,Diploma,17,Government,Startup,India,No,5,95572
Cybersecurity Analyst,11,High School,6,Education,Enterprise,India,Hybrid,3,103613
Data Scientist,3,PhD,19,Consulting,Enterprise,India,Hybrid,2,128923
Cloud Engineer,11,High School,18,Manufacturing,Small,India,No,1,92601
AI Engineer,18,Diploma,9,Manufacturing,Enterprise,India,No,2,152068
Frontend Developer,12,PhD,9,Retail,Enterprise,India,Yes,5,130369
Frontend Developer,17,High School,16,Manufacturing,Small,India,No,3,83692
Software Engineer,13,Diploma,17,Media,Large,India,Yes,1,100698
Data Analyst,3,Bachelor,16,Manufacturing,Startup,India,Yes,0,55832
Cybersecurity Analyst,0,Master,11,Media,Startup,India,Hybrid,0,73003
Product Manager,19,High School,11,Finance,Small,India,Hybrid,1,90665
Machine Learning Engineer,5,Diploma,17,Education,Startup,India,Hybrid,1,88172
AI Engineer,20,High School,2,Healthcare,Medium,India,Yes,0,125305
AI Engineer,16,Diploma,8,Technology,Enterprise,India,No,4,138288
AI Engineer,7,Diploma,7,Media,Enterprise,India,Hybrid,5,117429
Cloud Engineer,20,Master,15,Government,Medium,India,Yes,2,125060
Data Scientist,14,High School,15,Telecom,Medium,India,No,5,98754
Cloud Engineer,0,High School,13,Retail,Enterprise,India,No,0,85307
Data Analyst,8,Bachelor,12,Healthcare,Medium,India,Yes,5,86159
Product Manager,19,Diploma,2,Finance,Medium,India,No,0,105635
Cybersecurity Analyst,2,PhD,14,Consulting,Small,India,Hybrid,0,90493
Cybersecurity Analyst,11,High School,13,Technology,Enterprise,India,No,0,109744
AI Engineer,17,Bachelor,6,Finance,Medium,India,Yes,1,111810
DevOps Engineer,16,PhD,12,Government,Large,India,Yes,5,139160
Data Scientist,7,Master,9,Technology,Large,India,No,0,104120
Product Manager,13,Diploma,9,Consulting,Startup,India,No,3,92523
Business Analyst,10,Bachelor,5,Technology,Enterprise,India,Yes,4,92149
Data Analyst,12,High School,7,Telecom,Startup,India,Yes,2,70580
Machine Learning Engineer,0,PhD,7,Government,Medium,India,No,5,97977
DevOps Engineer,8,Diploma,13,Consulting,Medium,India,Yes,2,92244
Data Scientist,17,Bachelor,10,Media,Enterprise,India,Hybrid,1,121856
DevOps Engineer,19,Master,7,Media,Enterprise,India,No,1,143066
Cybersecurity Analyst,15,PhD,2,Manufacturing,Enterprise,India,No,4,136400
Frontend Developer,8,High School,7,Government,Enterprise,India,Yes,5,97725
Data Analyst,13,Master,7,Government,Small,India,Yes,3,87912
Cloud Engineer,1,Diploma,17,Government,Startup,India,Hybrid,4,65697
Cybersecurity Analyst,1,High School,7,Government,Medium,India,Yes,1,69193
Backend Developer,13,High School,17,Consulting,Startup,India,Hybrid,3,86113
Cloud Engineer,4,Diploma,6,Consulting,Startup,India,Hybrid,0,69536
Business Analyst,17,Diploma,3,Government,Large,India,No,5,96872
Software Engineer,11,High School,10,Media,Startup,India,Hybrid,4,83671
Data Scientist,4,Master,9,Healthcare,Startup,India,Hybrid,2,88834
AI Engineer,0,PhD,8,Government,Small,India,No,1,101393
Software Engineer,7,PhD,12,Technology,Medium,India,Yes,3,95679
Frontend Developer,15,Diploma,2,Retail,Small,India,Yes,5,81459
Data Analyst,15,Diploma,3,Healthcare,Large,India,No,1,72310
Cybersecurity Analyst,11,Diploma,1,Healthcare,Enterprise,India,No,4,99592
DevOps Engineer,20,PhD,14,Retail,Startup,India,Yes,3,117747
Machine Learning Engineer,8,High School,3,Finance,Medium,India,Hybrid,3,78989
DevOps Engineer,3,PhD,11,Education,Enterprise,India,Hybrid,4,117461
AI Engineer,3,Diploma,6,Technology,Medium,India,No,1,86553
Software Engineer,4,Master,9,Technology,Startup,India,No,3,73938
Cloud Engineer,4,Diploma,10,Media,Enterprise,India,Yes,1,106593
AI Engineer,2,Bachelor,12,Manufacturing,Small,India,Hybrid,3,93149
Cloud Engineer,18,High School,12,Finance,Enterprise,India,Yes,2,127220
Cybersecurity Analyst,12,Master,13,Finance,Medium,India,No,0,102621
Data Analyst,10,High School,5,Healthcare,Startup,India,Hybrid,0,51415
Machine Learning Engineer,10,Bachelor,10,Retail,Small,India,Yes,2,101644
Data Analyst,6,Diploma,12,Education,Small,India,No,3,53842
Cloud Engineer,5,Diploma,6,Retail,Startup,India,No,1,75146
Software Engineer,15,PhD,15,Media,Startup,India,Yes,5,109874
Cloud Engineer,6,Master,11,Telecom,Large,India,No,4,108853
DevOps Engineer,3,High School,19,Manufacturing,Large,India,No,4,89726
DevOps Engineer,11,PhD,18,Government,Startup,India,Hybrid,3,97264
DevOps Engineer,6,Bachelor,6,Retail,Medium,India,Yes,5,89238
Data Analyst,17,Diploma,7,Consulting,Startup,India,Hybrid,4,77217
AI Engineer,17,Bachelor,16,Finance,Small,India,Hybrid,0,107222
Software Engineer,15,High School,16,Retail,Large,India,Yes,3,103252
AI Engineer,3,PhD,5,Manufacturing,Large,India,No,0,128139
Data Scientist,16,High School,5,Government,Small,India,Yes,3,91385
AI Engineer,7,Bachelor,2,Government,Large,India,No,3,122995
Data Analyst,7,High School,13,Technology,Small,India,Yes,0,60957
AI Engineer,12,Diploma,18,Finance,Small,India,Hybrid,0,112187
AI Engineer,19,Master,15,Education,Startup,India,Yes,2,124354
Backend Developer,5,Master,3,Healthcare,Enterprise,India,Hybrid,4,94795
Product Manager,12,High School,8,Retail,Enterprise,India,Yes,0,110165
Cybersecurity Analyst,17,Bachelor,14,Retail,Small,India,Hybrid,5,96903
Backend Developer,16,Diploma,8,Finance,Medium,India,Hybrid,5,95300
Cloud Engineer,8,Master,17,Finance,Small,India,No,3,95993
Data Scientist,13,Bachelor,8,Education,Medium,India,No,0,90968
AI Engineer,3,Master,1,Telecom,Small,India,Hybrid,5,103389
Cybersecurity Analyst,14,High School,6,Consulting,Large,India,Yes,4,109538
Data Analyst,2,PhD,17,Retail,Small,India,No,4,84460
Product Manager,16,Bachelor,2,Finance,Startup,India,No,1,86987
Backend Developer,13,Bachelor,10,Finance,Startup,India,No,5,85661
Business Analyst,12,Diploma,14,Retail,Medium,India,Yes,2,77527
Data Scientist,18,Bachelor,11,Government,Startup,India,Hybrid,5,99146
Frontend Developer,16,Bachelor,18,Government,Enterprise,India,No,5,121982
Software Engineer,2,Master,19,Government,Large,India,No,1,91465
Product Manager,10,PhD,1,Finance,Medium,India,No,1,111628
Frontend Developer,7,Master,4,Telecom,Small,India,Yes,5,83831
Cybersecurity Analyst,20,Master,12,Telecom,Enterprise,India,Hybrid,5,150453
Data Scientist,4,Diploma,16,Media,Small,India,No,4,80432
Machine Learning Engineer,8,High School,16,Telecom,Small,India,Hybrid,4,92153
Machine Learning Engineer,20,Diploma,18,Media,Medium,India,No,5,125703
Product Manager,20,Master,1,Media,Small,India,No,0,102726
Data Analyst,12,Bachelor,17,Technology,Startup,India,Hybrid,1,74314
Software Engineer,15,High School,17,Technology,Enterprise,India,Yes,1,112814
Backend Developer,9,Diploma,9,Government,Small,India,Hybrid,3,81821
Machine Learning Engineer,13,Master,13,Media,Small,India,Yes,2,113795
Business Analyst,1,Master,8,Technology,Startup,India,Yes,3,60900
Data Analyst,13,Bachelor,9,Healthcare,Startup,India,Hybrid,1,69017
AI Engineer,3,PhD,12,Retail,Small,India,Hybrid,5,109089
Frontend Developer,19,PhD,2,Manufacturing,Enterprise,India,Hybrid,4,128715
Frontend Developer,11,Master,17,Finance,Startup,India,Yes,3,84209
Cybersecurity Analyst,7,High School,3,Retail,Enterprise,India,Hybrid,4,93759
Backend Developer,19,High School,4,Government,Startup,India,Yes,4,86057
Frontend Developer,0,Bachelor,14,Retail,Medium,India,Hybrid,1,66513
Machine Learning Engineer,17,Bachelor,9,Government,Medium,India,No,0,110248
Product Manager,20,Master,16,Telecom,Small,India,No,5,119255
Software Engineer,3,High School,15,Retail,Medium,India,Hybrid,1,77374
Business Analyst,7,Master,12,Consulting,Enterprise,India,Yes,4,106883
Backend Developer,5,PhD,18,Healthcare,Small,India,Hybrid,0,87182
DevOps Engineer,6,Master,8,Retail,Enterprise,India,Hybrid,2,104056
